Semester,Department,CourseCode,CourseTitle
3,CSE,15HUM240,Psychology For Effective Living
3,ECE,15HUM240,Psychology For Effective Living
3,EEE,15HUM240,Psychology For Effective Living
6,CSE,15CSE336,Biometrics
6,CSE,15CSE337,Cloud Computing Services
6,CSE,15CSE361,Pateern Recognition
7,CSE,15CSE351,Information Security
7,CSE,15CS340,Computer Vision
4,CSE,15CSE363,Principles Of Digital Image Processing
3,CSE,15ENG230,Buisness Communication
3,ECE,15ENG230,Buisness Communication
3,EEE,15ENG230,Buisness Communication
